epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6852,0.98514,1.64841,1.00707,0.96362,0.39239,0.94456,0.67723,0.73639,2.10006,0.89177,0.000656863,0.000656863,0.000656863
2,19.3403,0.79768,0.95813,0.93157,0.99979,0.99259,0.995,0.82769,0.73111,0.79732,0.85569,0.0011925,0.0011925,0.0011925
3,26.9369,0.69183,0.85785,0.90713,0.98772,0.99304,0.9949,0.85239,0.62836,0.71954,0.83355,0.00159614,0.00159614,0.00159614
4,34.4706,0.60883,0.72316,0.8774,0.99529,0.99753,0.99448,0.84453,0.5647,0.67589,0.82214,0.001406,0.001406,0.001406
5,41.9683,0.54692,0.63439,0.86743,0.99985,1,0.995,0.88106,0.48337,0.53548,0.80375,0.001208,0.001208,0.001208
6,49.4316,0.50678,0.57484,0.83495,0.99984,1,0.995,0.91603,0.45869,0.47737,0.78318,0.00101,0.00101,0.00101
7,57.1194,0.4742,0.54015,0.82835,0.99985,1,0.995,0.93335,0.39162,0.44151,0.7793,0.000812,0.000812,0.000812
8,64.6603,0.41725,0.4901,0.81197,0.99983,1,0.995,0.96176,0.31279,0.39238,0.77165,0.000614,0.000614,0.000614
9,72.2527,0.39085,0.46607,0.81172,0.99983,1,0.995,0.97031,0.29542,0.38462,0.76834,0.000416,0.000416,0.000416
10,79.8627,0.33119,0.42018,0.79933,0.99985,1,0.995,0.96603,0.26603,0.36598,0.76482,0.000218,0.000218,0.000218
